iter	Passed	Remaining
0	0	757
1	1	685
2	1	660
3	2	644
4	3	623
5	3	595
6	4	585
7	4	577
8	5	562
9	5	552
10	6	545
11	6	540
12	7	531
13	7	526
14	7	521
15	8	518
16	8	515
17	9	509
18	9	511
19	10	513
20	10	511
21	11	508
22	11	507
23	12	506
24	12	504
25	13	502
26	13	500
27	14	498
28	14	495
29	15	494
30	15	492
31	16	490
32	16	490
33	17	489
34	17	488
35	18	487
36	18	486
37	19	483
38	19	483
39	20	481
40	20	481
41	21	480
42	21	478
43	22	478
44	22	478
45	23	484
46	23	484
47	24	482
48	24	481
49	25	480
50	25	479
51	26	477
52	26	477
53	27	476
54	27	474
55	28	473
56	28	472
57	28	470
58	29	469
59	29	468
60	30	467
61	30	466
62	31	464
63	31	463
64	32	463
65	32	462
66	33	462
67	33	461
68	34	460
69	34	459
70	35	458
71	35	457
72	35	456
73	36	457
74	37	456
75	37	456
76	37	455
77	38	454
78	38	453
79	39	452
80	39	452
81	40	451
82	40	450
83	41	449
84	41	448
85	42	448
86	42	447
87	43	446
88	43	446
89	44	445
90	44	444
91	44	443
92	45	443
93	45	442
94	46	442
95	46	441
96	47	440
97	47	439
98	48	438
99	48	438
100	49	437
101	49	436
102	50	438
103	50	437
104	51	437
105	51	436
106	52	436
107	52	435
108	53	434
109	53	433
110	54	432
111	54	431
112	54	430
113	55	429
114	55	429
115	56	428
116	56	427
117	57	426
118	57	425
119	57	425
120	58	424
121	58	423
122	59	423
123	59	422
124	60	421
125	60	421
126	61	420
127	61	419
128	62	419
129	62	418
130	63	418
131	63	417
132	64	417
133	64	417
134	65	416
135	65	416
136	65	415
137	66	415
138	66	414
139	67	413
140	67	413
141	68	412
142	68	411
143	69	411
144	69	410
145	70	409
146	70	408
147	70	408
148	71	407
149	71	407
150	72	406
151	72	406
152	73	405
153	73	405
154	74	404
155	74	404
156	75	403
157	75	402
158	76	402
159	76	401
160	77	401
161	77	401
162	77	400
163	78	400
164	78	399
165	79	398
166	79	398
167	80	397
168	80	397
169	81	396
170	81	396
171	82	395
172	82	394
173	83	394
174	83	393
175	83	393
176	84	392
177	84	392
178	85	391
179	85	391
180	86	390
181	86	390
182	87	390
183	87	389
184	88	389
185	88	388
186	89	388
187	89	387
188	90	387
189	90	387
190	91	386
191	91	385
192	92	385
193	92	384
194	93	384
195	93	383
196	94	383
197	94	382
198	94	382
199	95	381
200	95	380
201	96	380
202	96	379
203	97	379
204	97	379
205	98	378
206	98	378
207	99	377
208	99	377
209	100	376
210	100	375
211	100	375
212	101	374
213	101	374
214	102	373
215	102	373
216	103	373
217	103	372
218	104	372
219	104	371
220	105	371
221	105	370
222	106	370
223	106	369
224	107	369
225	107	368
226	108	368
227	108	367
228	109	367
229	109	366
230	109	366
231	110	365
232	110	365
233	111	364
234	111	364
235	112	363
236	112	363
237	113	362
238	113	362
239	114	361
240	114	361
241	115	360
242	115	360
243	116	359
244	116	359
245	117	359
246	117	359
247	118	359
248	119	359
249	119	359
250	120	359
251	120	358
252	121	358
253	121	358
254	122	357
255	123	357
256	123	357
257	124	357
258	124	356
259	125	356
260	125	356
261	126	355
262	126	355
263	127	354
264	127	354
265	128	354
266	128	353
267	129	353
268	130	353
269	130	353
270	131	352
271	131	352
272	132	352
273	132	352
274	133	351
275	133	351
276	134	350
277	134	350
278	135	350
279	135	349
280	136	349
281	136	348
282	137	348
283	138	347
284	138	347
285	139	347
286	139	346
287	140	346
288	140	345
289	141	345
290	141	345
291	142	344
292	142	344
293	143	343
294	143	343
295	144	342
296	144	342
297	145	342
298	145	341
299	146	341
300	146	341
301	147	340
302	147	340
303	148	339
304	148	339
305	149	339
306	150	338
307	150	338
308	151	337
309	151	337
310	152	336
311	152	336
312	153	336
313	153	335
314	154	335
315	154	335
316	155	334
317	155	334
318	156	333
319	156	333
320	157	333
321	158	332
322	158	332
323	159	332
324	159	331
325	160	331
326	160	331
327	161	330
328	162	330
329	162	330
330	163	329
331	163	329
332	164	329
333	164	328
334	165	328
335	165	327
336	166	327
337	167	327
338	167	326
339	168	326
340	168	325
341	169	325
342	169	325
343	170	324
344	170	324
345	171	324
346	172	323
347	172	323
348	173	322
349	173	322
350	174	322
351	174	321
352	175	321
353	175	321
354	176	320
355	177	320
356	177	319
357	178	319
358	178	319
359	179	318
360	179	318
361	180	317
362	180	317
363	181	317
364	181	316
365	182	316
366	183	315
367	183	315
368	184	314
369	184	314
370	185	314
371	185	313
372	186	313
373	187	313
374	187	312
375	188	312
376	188	311
377	189	311
378	189	311
379	190	310
380	190	310
381	191	309
382	192	309
383	192	308
384	193	308
385	193	308
386	194	307
387	194	307
388	195	306
389	195	306
390	196	306
391	197	305
392	197	305
393	198	305
394	199	305
395	199	304
396	200	304
397	201	304
398	201	303
399	202	303
400	202	303
401	203	302
402	204	302
403	204	302
404	205	301
405	206	301
406	206	301
407	207	300
408	207	300
409	208	300
410	209	299
411	209	299
412	210	299
413	211	298
414	211	298
415	212	297
416	212	297
417	213	296
418	213	296
419	214	296
420	215	295
421	215	295
422	216	294
423	216	294
424	217	294
425	217	293
426	218	293
427	219	292
428	219	292
429	220	291
430	220	291
431	221	291
432	221	290
433	222	290
434	223	289
435	223	289
436	224	288
437	224	288
438	225	288
439	225	287
440	226	287
441	227	286
442	227	286
443	228	285
444	228	285
445	229	285
446	230	284
447	230	284
448	231	283
449	231	283
450	232	282
451	232	282
452	233	281
453	233	281
454	234	280
455	235	280
456	235	280
457	236	279
458	236	279
459	237	278
460	238	278
461	238	278
462	239	277
463	239	277
464	240	276
465	240	276
466	241	275
467	242	275
468	242	274
469	243	274
470	243	273
471	244	273
472	244	272
473	245	272
474	245	271
475	246	271
476	247	270
477	247	270
478	248	269
479	248	269
480	249	268
481	249	268
482	250	268
483	251	268
484	252	267
485	252	267
486	253	266
487	253	266
488	254	265
489	254	265
490	255	264
491	256	264
492	256	263
493	257	263
494	257	262
495	258	262
496	258	261
497	259	261
498	259	260
499	260	260
500	261	260
501	261	259
502	262	259
503	262	258
504	263	258
505	264	257
506	264	257
507	265	257
508	265	256
509	266	256
510	267	255
511	267	255
512	268	254
513	268	254
514	269	253
515	269	253
516	270	252
517	270	252
518	271	251
519	272	251
520	272	250
521	273	250
522	273	249
523	274	249
524	274	248
525	275	248
526	276	247
527	276	247
